iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,2,15,79,0,15,LOOCV,,SVM,TFIDF_profile_text,500,True,0.883,0.8598,0.6603,0.7052,0.7958
1,target_population,2,15,79,0,15,K-Fold,5.0,AdaBoost,TFIDF_profile_text,500,True,0.8511,0.7225,0.6143,0.6396,0.8253
1,target_population,2,15,79,0,15,LOOCV,,AdaBoost,TFIDF_profile_text,500,True,0.8511,0.7225,0.6143,0.6396,0.735
1,target_population,2,15,79,0,15,K-Fold,5.0,XGBoost,TFIDF_profile_text,500,True,0.7979,0.6298,0.6367,0.633,0.7443
1,target_population,2,15,79,0,15,LOOCV,,XGBoost,TFIDF_profile_text,500,True,0.8298,0.6575,0.6017,0.6179,0.6717
1,target_population,2,15,79,0,15,K-Fold,5.0,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.883,0.8598,0.6603,0.7052,0.8143
1,target_population,2,15,79,0,15,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7708,0.6207,0.6516,0.7823
1,target_population,2,15,79,0,15,K-Fold,5.0,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.742,0.7287,0.735,0.7287
1,target_population,2,15,79,0,15,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.8723,0.7804,0.681,0.7134,0.681
1,target_population,2,15,79,0,15,K-Fold,5.0,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8404,0.4202,0.5,0.4566,0.8089
1,target_population,2,15,79,0,15,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8404,0.4202,0.5,0.4566,0.8
1,target_population,2,15,79,0,15,K-Fold,5.0,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.8723,0.7804,0.681,0.7134,0.7941
1,target_population,2,15,79,0,15,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7708,0.6207,0.6516,0.7713
1,target_population,2,15,79,0,15,K-Fold,5.0,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7429,0.7017,0.7189,0.7911
1,target_population,2,15,79,0,15,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7464,0.6747,0.7001,0.7553
1,target_population,2,15,79,0,15,K-Fold,5.0,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8298,0.6752,0.6557,0.6643,0.7616
1,target_population,2,15,79,0,15,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8298,0.6575,0.6017,0.6179,0.7376
1,target_population,2,15,79,0,15,K-Fold,5.0,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.8511,0.7198,0.6954,0.7063,0.811
1,target_population,2,15,79,0,15,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.8617,0.7429,0.7017,0.7189,0.7924
1,target_population,2,15,79,0,15,K-Fold,5.0,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.8404,0.7105,0.743,0.7243,0.743
1,target_population,2,15,79,0,15,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.8936,0.8091,0.7747,0.7902,0.7747
1,target_population,2,15,79,0,15,K-Fold,5.0,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.8404,0.4202,0.5,0.4566,0.811
1,target_population,2,15,79,0,15,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.8404,0.4202,0.5,0.4566,0.8245
1,target_population,2,15,79,0,15,K-Fold,5.0,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.8617,0.7464,0.6747,0.7001,0.7958
1,target_population,2,15,79,0,15,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.8617,0.7544,0.6477,0.678,0.7561
1,target_population,2,15,79,0,15,K-Fold,5.0,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8404,0.7,0.689,0.6942,0.7937
1,target_population,2,15,79,0,15,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8298,0.6898,0.7097,0.6987,0.7637
1,target_population,2,15,79,0,15,K-Fold,5.0,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8298,0.6827,0.6827,0.6827,0.7397
