iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
4,target_population,2,99,283,0,99,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.7696,0.7025,0.6179,0.6313,0.7731
4,target_population,2,99,283,0,99,K-Fold,5,XGBoost,TFIDF_profile_text,500,False,0.8063,0.7592,0.6952,0.7152,0.793
4,target_population,2,99,283,0,99,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.8089,0.7628,0.7003,0.7203,0.7861
4,target_population,2,99,283,0,99,K-Fold,5,LogReg,TFIDF_profile_text,500,True,0.8115,0.7579,0.7907,0.7702,0.8641
4,target_population,2,99,283,0,99,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.822,0.77,0.8043,0.783,0.8694
4,target_population,2,99,283,0,99,K-Fold,5,Decision Tree,TFIDF_profile_text,500,True,0.7749,0.7037,0.6773,0.6875,0.6924
4,target_population,2,99,283,0,99,LOOCV,,Decision Tree,TFIDF_profile_text,500,True,0.788,0.7238,0.6894,0.7022,0.7192
4,target_population,2,99,283,0,99,K-Fold,5,Random Forest,TFIDF_profile_text,500,True,0.7958,0.7424,0.6783,0.6972,0.8507
4,target_population,2,99,283,0,99,LOOCV,,Random Forest,TFIDF_profile_text,500,True,0.822,0.7784,0.7288,0.747,0.8525
4,target_population,2,99,283,0,99,K-Fold,5,SVM,TFIDF_profile_text,500,True,0.8168,0.7614,0.7614,0.7614,0.8346
4,target_population,2,99,283,0,99,LOOCV,,SVM,TFIDF_profile_text,500,True,0.8194,0.7646,0.7763,0.77,0.8467
4,target_population,2,99,283,0,99,K-Fold,5,AdaBoost,TFIDF_profile_text,500,True,0.8194,0.7656,0.7566,0.7608,0.8315
4,target_population,2,99,283,0,99,LOOCV,,AdaBoost,TFIDF_profile_text,500,True,0.8272,0.7747,0.7783,0.7765,0.8204
4,target_population,2,99,283,0,99,K-Fold,5,XGBoost,TFIDF_profile_text,500,True,0.822,0.7713,0.7485,0.7584,0.8158
4,target_population,2,99,283,0,99,LOOCV,,XGBoost,TFIDF_profile_text,500,True,0.8403,0.7993,0.7674,0.7808,0.8205
4,target_population,2,99,283,0,99,K-Fold,5,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.801,0.8225,0.6326,0.652,0.8705
4,target_population,2,99,283,0,99,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.8089,0.8092,0.6576,0.6825,0.873
4,target_population,2,99,283,0,99,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.7853,0.7209,0.7238,0.7223,0.7238
4,target_population,2,99,283,0,99,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.7565,0.6834,0.6846,0.684,0.6846
4,target_population,2,99,283,0,99,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8325,0.814,0.7195,0.747,0.8612
4,target_population,2,99,283,0,99,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8455,0.8324,0.7414,0.7699,0.871
4,target_population,2,99,283,0,99,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.8246,0.7834,0.7306,0.7497,0.8419
